Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
SWX,59.2895,-0.16922041,-0.1005,Sell,179800,3369758568,14.89142972,3.9908,2295,Utilities
SXT,73.23,-0.35378963,-0.26,Buy,89790,3103497390,46.20850101,1.5917,4058,Distribution Services
SYNA,87.14,5.58584757,4.61,Strong Buy,379706,3005499674,25.90232879,3.2955,1387,Electronic Technology
SYNH,69.39,-0.67277412,-0.47,Buy,294979,7227791500,38.39305342,1.8448,24000,Health Services
TAP,45.375,2.14993246,0.955,Buy,681250,9844969965,16.49584076,2.695,17700,Consumer Non-Durables
TARO,70.5,1.48265438,1.03,Buy,15903,2701787022,,-7.0138,1464,Health Technology
TCBI,59.01,2.07576544,1.2,Buy,137081,2980516516,41.62886153,1.3949,1738,Finance
TCF,36.17,1.6011236,0.57,Buy,2230193,5511855960,23.20427584,1.5348,,Finance
TCO,42.94,-0.13953488,-0.06,Buy,1088973,2654190000,,-2.245,420,Finance
TCP,28.651,0.24842547,0.071,Sell,263954,2045067552,7.43709178,3.8429,,Industrial Services
TDC,22.63,-0.04416961,-0.01,Buy,414288,2473459000,25.2312493,0.911,8535,Electronic Technology
TDS,18.04,1.34831461,0.24,Sell,627472,2060132896,9.32914046,1.95,9400,Communications
TECK,17.805,2.6816609,0.465,Buy,961354,9453544400,,-1.76215609,10100,Non-Energy Minerals
TENB,54.83,-1.2250045,-0.68,Buy,878736,5649670850,,-0.8013,1477,Technology Services
TEX,35.7701,1.99629313,0.7001,Buy,368396,2484058500,323.22580645,0.1115,9500,Producer Manufacturing
TFII,51.36,0.84429609,0.43,Buy,53079,4800699750,18.01062891,2.86513195,17150,Transportation
TFSL,17.74,2.72148234,0.47,Buy,85485,4965905960,58.70156356,0.2963,,Finance
TGNA,13.385,2.01981707,0.265,Sell,1003162,2934554170,8.92152863,1.4747,6883,Consumer Services
TGTX,54.08,-0.60650616,-0.33,Buy,628612,7474125350,,-2.1004,134,Health Technology
THC,40.7,-0.31839334,-0.13,Buy,228453,4306148770,,-0.1118,113600,Health Services
THG,115.945,0.75165103,0.865,Buy,81650,4317925684,14.72364381,7.9053,4300,Finance
THO,101.75,0.27594363,0.28,Buy,481176,5634341343,19.72589425,5.1738,22250,Consumer Durables
THRM,67.12,-0.91526425,-0.62,Buy,101253,2195153645,61.82913472,1.1068,11726,Producer Manufacturing
THS,42.4,1.45967935,0.61,Buy,197370,2398815540,,-0.0756,10800,Consumer Non-Durables
TIGO,38.39,-0.67270375,-0.26,Sell,18801,3880506420,,-0.6426,22375,Communications
TIMB,13.86,0.58055152,0.08,Buy,119943,6671720000,14.89246731,0.9279,9700,Communications
TKC,5.19,0.97276265,0.05,Buy,226209,4490140000,7.95665635,0.646,,Communications
TKR,77.08,0.87684858,0.67,Buy,173359,5809963020,16.91721832,4.58,18000,Producer Manufacturing
